model,property,algorithm,seed,simulations,time,robustness,falsified,input,control points,exploration ratio,budget,explore,uniform,prefix,suffix
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,3958041752096909892,13.0,3.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,23,4,5,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,3794678871423782421,30.0,6.0,-0.4581435027369878,yes,"[0.0 100.0 162.5; 15.0 100.0 243.75; 25.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,52,10,6,8
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,8181248863959752427,19.0,4.0,-8.632897646576623,yes,"[0.0 100.0 101.5625; 10.0 100.0 0.0; 25.0 0.0 162.5; 30.0 0.0 162.5]","2 2 3 3 3 4",0.25,300,33,5,2,7
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,7698985409547079319,9.0,2.0,-4.554919588846715,yes,"[0.0 100.0 162.5; 15.0 87.5 0.0; 25.0 0.0 325.0; 30.0 0.0 325.0]","2 2 3 3 3 4",0.25,300,16,2,3,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-4131623449183998397,1.0,0.0,-14.42303757125893,yes,"[0.0 100.0 162.5; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,2,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-7750826011340930336,3.0,0.0,-4.809704969700675,yes,"[0.0 50.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,7,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-5564848877718094627,12.0,2.0,-11.220951438219288,yes,"[0.0 100.0 325.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,22,2,1,2
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-6990856834845939642,15.0,3.0,-11.220951438219288,yes,"[0.0 100.0 325.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,26,4,3,2
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-4701237711499865563,9.0,2.0,-11.220951438219288,yes,"[0.0 100.0 325.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,11,3,2,2
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-5639999502947973768,4.0,0.0,-0.745581197413415,yes,"[0.0 100.0 325.0; 15.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,8,0,0,2
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,8361841616997096311,10.0,2.0,-1.8760639865800641,yes,"[0.0 84.375 325.0; 7.5 75.0 325.0; 17.5 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,20,4,1,2
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-8608154688667229480,1.0,0.0,-0.27163616611683494,yes,"[0.0 0.0 203.125; 10.0 100.0 0.0; 25.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,3,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-346068277684901982,10.0,2.0,-0.5511690346261702,yes,"[0.0 100.0 0.0; 15.0 50.0 0.0; 30.0 50.0 0.0]","2 2 3 3 3 4",0.25,300,18,2,1,3
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,8583421108892856622,1.0,0.0,-14.42303757125893,yes,"[0.0 100.0 162.5; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,2,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,751661180465674478,17.0,4.0,-7.362017144361502,yes,"[0.0 100.0 0.0; 15.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,32,5,3,2
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-8149797952705142109,3.0,0.0,-7.394225990989668,yes,"[0.0 100.0 162.5; 15.0 96.875 0.0; 22.5 100.0 182.8125; 30.0 100.0 182.8125]","2 2 3 3 3 4",0.25,300,7,0,1,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,7150239976759361100,20.0,4.0,-0.745581197413415,yes,"[0.0 100.0 325.0; 15.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,36,5,6,4
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,2456438355188220127,9.0,2.0,-7.362017144361502,yes,"[0.0 100.0 0.0; 15.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,16,1,1,2
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-3352285862663714248,1.0,0.0,-9.477349732641642,yes,"[0.0 100.0 40.625; 10.0 100.0 0.0; 25.0 100.0 325.0; 30.0 100.0 325.0]","2 2 3 3 3 4",0.25,300,3,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-7206862856428773816,2.0,0.0,-2.3200777436705238,yes,"[0.0 75.0 325.0; 10.0 100.0 0.0; 25.0 50.0 243.75; 30.0 50.0 243.75]","2 2 3 3 3 4",0.25,300,5,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-3126459483930515759,5.0,1.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,9,3,1,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-6642002009474159212,7.0,1.0,-0.745581197413415,yes,"[0.0 100.0 325.0; 15.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,14,0,2,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-7602053619253506440,7.0,1.0,-4.809704969700675,yes,"[0.0 50.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,13,2,0,1
