model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget
automatic_transmission,"□_[0.0, 50.0] (speed < 200.0)","uniform random",5027564224191174885,100.0,18.0,65.11419254033393,no,4,100
automatic_transmission,"□_[0.0, 50.0] (speed < 200.0)","uniform random",-1702726027617546570,100.0,17.0,65.82850579341843,no,4,100
automatic_transmission,"□_[0.0, 50.0] (speed < 200.0)","uniform random",5704118054995460492,100.0,15.0,64.51625815285854,no,4,100
automatic_transmission,"□_[0.0, 50.0] (speed < 200.0)","uniform random",7938329089922726318,100.0,15.0,65.52628737507564,no,4,100
automatic_transmission,"□_[0.0, 50.0] (speed < 200.0)","uniform random",2597640955835708158,100.0,15.0,59.34771274212193,no,4,100
automatic_transmission,"□_[0.0, 50.0] (speed < 200.0)","uniform random",-3373523279198630529,100.0,15.0,68.87930703362528,no,4,100
automatic_transmission,"□_[0.0, 50.0] (speed < 200.0)","uniform random",-945874369173475924,100.0,15.0,65.53307510997078,no,4,100
automatic_transmission,"□_[0.0, 50.0] (speed < 200.0)","uniform random",-2027068886085455778,100.0,15.0,60.97327138785181,no,4,100
automatic_transmission,"□_[0.0, 5.0] (RPM < 10000.0)","uniform random",0,100.0,11.0,5393.203704166128,no,4,100
automatic_transmission,"□_[0.0, 5.0] (RPM < 10000.0)","uniform random",8930961420536443956,100.0,11.0,5390.829556173086,no,4,100
automatic_transmission,"□_[0.0, 5.0] (RPM < 10000.0)","uniform random",5027564224191174885,100.0,12.0,5407.7325875803535,no,4,100
automatic_transmission,"□_[0.0, 5.0] (RPM < 10000.0)","uniform random",-1702726027617546570,100.0,11.0,5404.604004029732,no,4,100
automatic_transmission,"□_[0.0, 5.0] (RPM < 10000.0)","uniform random",5704118054995460492,100.0,11.0,5389.026794025842,no,4,100
automatic_transmission,"□_[0.0, 5.0] (RPM < 10000.0)","uniform random",7938329089922726318,100.0,11.0,5398.598115203025,no,4,100
automatic_transmission,"□_[0.0, 5.0] (RPM < 10000.0)","uniform random",2597640955835708158,100.0,12.0,5385.605018297963,no,4,100
automatic_transmission,"□_[0.0, 5.0] (RPM < 10000.0)","uniform random",-3373523279198630529,100.0,12.0,5385.635846233837,no,4,100
automatic_transmission,"□_[0.0, 5.0] (RPM < 10000.0)","uniform random",-945874369173475924,100.0,11.0,5377.296089172557,no,4,100
automatic_transmission,"□_[0.0, 5.0] (RPM < 10000.0)","uniform random",-2027068886085455778,100.0,12.0,5378.264937519231,no,4,100
automatic_transmission,"□_[0.0, 10.0] (RPM < 10000.0)","uniform random",0,100.0,12.0,5237.732273824548,no,4,100
automatic_transmission,"□_[0.0, 10.0] (RPM < 10000.0)","uniform random",8930961420536443956,100.0,12.0,5245.883671514663,no,4,100
automatic_transmission,"□_[0.0, 10.0] (RPM < 10000.0)","uniform random",5027564224191174885,100.0,12.0,5242.94450199562,no,4,100
automatic_transmission,"□_[0.0, 10.0] (RPM < 10000.0)","uniform random",-1702726027617546570,100.0,12.0,5271.89894929496,no,4,100
automatic_transmission,"□_[0.0, 10.0] (RPM < 10000.0)","uniform random",5704118054995460492,100.0,12.0,5240.705582694545,no,4,100
automatic_transmission,"□_[0.0, 10.0] (RPM < 10000.0)","uniform random",7938329089922726318,100.0,12.0,5230.874665367322,no,4,100
automatic_transmission,"□_[0.0, 10.0] (RPM < 10000.0)","uniform random",2597640955835708158,100.0,12.0,5238.978263100668,no,4,100
automatic_transmission,"□_[0.0, 10.0] (RPM < 10000.0)","uniform random",-3373523279198630529,100.0,12.0,5241.451653271468,no,4,100
automatic_transmission,"□_[0.0, 10.0] (RPM < 10000.0)","uniform random",-945874369173475924,100.0,12.0,5255.4939825925385,no,4,100
automatic_transmission,"□_[0.0, 10.0] (RPM < 10000.0)","uniform random",-2027068886085455778,100.0,12.0,5226.7041853984965,no,4,100
automatic_transmission,"□_[0.0, 20.0] (RPM < 10000.0)","uniform random",0,100.0,13.0,5233.073499928536,no,4,100
