model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,exploration ratio,solver
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",8560488560777402796,71.0,11.0,-17.767788928807022,yes,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",-3008499988737785975,100.0,15.0,135.61506605331306,no,4,100,,
automatic_transmission,"□_[0.0, 8.0] (RPM < 4750.0)","uniform random",259647104143331248,100.0,15.0,142.90325755050617,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",0,100.0,19.0,29.471150868811492,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",8930961420536443956,100.0,19.0,31.77146615653146,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",5027564224191174885,100.0,17.0,38.738680330287025,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-1702726027617546570,100.0,16.0,29.51784436156686,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",5704118054995460492,100.0,17.0,35.19270912472439,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",7938329089922726318,100.0,16.0,28.744692296340872,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",2597640955835708158,100.0,16.0,30.358492405141078,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-3373523279198630529,100.0,16.0,28.73754405796899,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-945874369173475924,100.0,17.0,30.028924446390192,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-2027068886085455778,100.0,17.0,30.170230812135742,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",6304015054855110897,100.0,16.0,32.64681822986586,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",7326836740652458706,100.0,16.0,32.720819167761874,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-4654762989909935524,100.0,16.0,32.11152583195235,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",5680579321556878413,100.0,16.0,30.801989823715303,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",8523361402286175156,100.0,16.0,35.54836957018688,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-8793992002278010983,100.0,16.0,30.644726217993593,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-6832752530430645995,100.0,16.0,32.93109866809846,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-8632828757254143281,100.0,16.0,30.85250597446702,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",7653167101363501320,100.0,16.0,28.9534117894691,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-5325241907554305955,100.0,16.0,33.34920717586647,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-4974865797526893060,100.0,17.0,33.946274839135185,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",5797184376732379383,100.0,17.0,30.35868511206172,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-7043082859492170042,100.0,16.0,32.93568944460549,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",1054351206546440667,100.0,16.0,29.658763962428566,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-1698289989263789486,100.0,16.0,30.13715663455332,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",4271503187919487070,100.0,16.0,29.984593977401346,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",2738123488075612447,100.0,16.0,33.88976915175408,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",7668562801346824942,100.0,16.0,31.709088571355096,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",8553324326296296413,100.0,16.0,33.28000600430914,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-3749896565471947031,100.0,16.0,34.39212016974034,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-7882717395777916198,100.0,16.0,36.10483810740516,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-4939450756633384265,100.0,16.0,31.603208080628065,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",5427243668593246997,100.0,16.0,31.510109269144777,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",3892085428951512630,100.0,17.0,33.271788035836835,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",8180878249670465210,100.0,16.0,29.614568928161134,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-4744172288224302360,100.0,17.0,30.61672456470842,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",4040048199825755665,100.0,16.0,33.40450775971749,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-4198375351632924143,100.0,16.0,29.540400196848168,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-9051681304203366464,100.0,16.0,28.62734567926418,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-2490761093437814044,100.0,17.0,30.857080687418602,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",7013634195885586820,100.0,18.0,32.82740518698574,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",7581319113371600870,100.0,16.0,32.04794146065251,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",7083993420784521076,100.0,16.0,30.91659400370554,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-1068548847272385508,100.0,16.0,28.411734157788487,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-7254545126000333925,100.0,16.0,33.44406863658969,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",7341473967884344484,100.0,16.0,33.74293075796868,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",6445319955727123257,100.0,16.0,35.28835787349817,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-8737220601831949211,100.0,16.0,31.24420471171379,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",3270757991693583017,100.0,16.0,32.00004614346108,no,4,100,,
automatic_transmission,"□_[0.0, 50.0] (RPM < 4800.0)","uniform random",-1348547246110099287,100.0,16.0,30.16919993594729,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",0,100.0,14.0,13.38156989096538,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",8930961420536443956,100.0,14.0,12.826928028022763,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",5027564224191174885,100.0,14.0,12.212493304998873,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-1702726027617546570,100.0,14.0,19.262115034046786,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",5704118054995460492,100.0,14.0,17.265176305135995,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",7938329089922726318,100.0,14.0,15.339398665969128,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",2597640955835708158,100.0,14.0,8.904414097999933,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-3373523279198630529,100.0,14.0,16.269237599224468,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-945874369173475924,100.0,14.0,19.23117715452264,no,4,100,,
automatic_transmission,"□_[0.0, 20.0] (speed < 120.0)","uniform random",-2027068886085455778,100.0,14.0,12.804769000850783,no,4,100,,
