model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",0,248.0,67.0,-3.125796380274437,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",4729258786134046037,20.0,3.0,-0.1658759715853506,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",3620174044042333592,123.0,21.0,-1.3289252768523454,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",7163303682633071173,135.0,23.0,-6.504877424327006,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-1503615242066911403,289.0,50.0,-0.6662421418086524,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",8751675881946153570,300.0,52.0,3.3617418220699307,no,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",8321033922825267250,56.0,9.0,-0.6537807337579977,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-1683329404185523534,245.0,43.0,-2.4315966788000765,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-4541465888773430050,260.0,45.0,-0.3022902774707603,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",7200594254665727145,300.0,52.0,0.10540835051858721,no,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",8621184342098236522,35.0,6.0,-2.2852124370917863,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-2821219412090221258,167.0,29.0,-1.5092829617398706,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",4553137876393461072,19.0,3.0,-2.4737769295903433,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",4342526023931764393,34.0,5.0,-0.4499190618456623,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-2263714098648191898,300.0,52.0,0.1055514793185921,no,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",5431949819043345846,300.0,52.0,3.7731219881446947,no,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",2103572369491655099,235.0,42.0,-1.0086389887866005,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",997542124781928405,186.0,33.0,-2.4962542262233853,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-8687253759739619384,3.0,0.0,-0.7667150040452526,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",7604424862085253328,106.0,19.0,-0.12460723821077124,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-1294603427245719004,178.0,31.0,-5.359094305932317,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-744554581559104844,47.0,8.0,-1.284504686375982,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-5977660361434136500,5.0,0.0,-1.5532842915487493,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",3438411581138818376,268.0,47.0,-0.6763654800302419,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-8749293460607963619,31.0,5.0,-4.315175832240342,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",93920394367136771,19.0,3.0,-2.096066107240162,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",1918419480077721477,94.0,17.0,-0.719444734067693,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-5697441960955430051,20.0,3.0,-3.458465577312637,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-3866524396184893715,43.0,7.0,-0.553756261132861,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",8650371730049650121,94.0,16.0,-1.1048695167912683,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",7281612429457415208,84.0,14.0,-3.904407733064801,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-4671156573718563805,219.0,38.0,-1.1829408046356065,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-7837593502988274102,133.0,23.0,-4.604106611304118,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-2616529027829881910,108.0,19.0,-5.332191519453161,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-1725960090457248450,39.0,6.0,-1.3122005980564495,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",1425865127882356081,300.0,53.0,0.8820836021888283,no,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",2339591216645252710,93.0,16.0,-1.572049179018947,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-8929645859344466819,142.0,24.0,-5.927693914413908,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",1421526663186497397,79.0,13.0,-1.4886347006766982,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",1141715372786253533,13.0,2.0,-0.21425043156730794,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-6952130469977964956,141.0,25.0,-1.5552368836337394,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",7152370036571670019,209.0,36.0,-2.966849697631261,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",3475412033289342319,34.0,6.0,-6.307538367720056,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",3207690870697942490,36.0,6.0,-2.950992057806289,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-7054202971802756773,300.0,53.0,2.3264199320929606,no,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",8532336639076619700,25.0,4.0,-0.8472238475118274,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-3514174847231661744,48.0,8.0,-2.023856499923184,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",2176269149071338015,126.0,22.0,-0.5367562920133224,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",-8022640475305733839,147.0,26.0,-1.019151262220106,yes,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)","uniform random",1608387273334454215,300.0,53.0,1.7364237259635047,no,4,300,,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,0,57.0,37.0,-8.58135854410341,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-4962768465676381896,34.0,22.0,-9.180001185878552,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,4804307197456638271,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-1034601897293430941,22.0,14.0,-2.0965700758659978,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,7848011421992302230,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-8929183248358367000,32.0,21.0,-1.1329299738906258,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,488730542833106255,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,5082315122564986995,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-4023469995120514721,87.0,58.0,-1.6070769774217268,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-652523483647487500,33.0,22.0,-1.8012584038671662,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,733208966369662072,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-2859003968966358305,38.0,25.0,-2.82787298349497,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,2391129358218448901,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,462804890636782426,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,4152650890530247911,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-7824937040248809533,32.0,21.0,-1.605109739414047,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-7423161351415864473,50.0,33.0,-1.3304528012344292,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-1712070416600608528,32.0,21.0,-5.077506963116733,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-7558503418509576542,35.0,23.0,-1.574173408694321,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-1602231814014388968,52.0,34.0,-2.064161699220577,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-8398198349610176347,43.0,28.0,-7.002240053888954,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,8543763135442756639,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-6771948130860443991,33.0,22.0,-10.218771098403266,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-6872183637580745469,55.0,36.0,-5.997270993487604,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-4362937514027401353,27.0,18.0,-1.0582702694071315,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-645818057311197652,54.0,36.0,-2.380260657586547,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-2589363629201395742,46.0,30.0,-0.551834856731503,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-1292473327617944349,44.0,30.0,-0.42239784639762945,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,7708962365626450022,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-1985167797452687559,60.0,40.0,-0.8618341352665482,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-9181452172432867415,118.0,79.0,-7.890495373782599,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,5136175437742153992,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,2461321076443974826,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,5393678625457699973,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-5223836593555421482,91.0,61.0,-2.9226907681734247,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,4231336260356479292,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,80026624404206994,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,5629798281369249587,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-7970476187495257102,79.0,53.0,-0.5051432889985392,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,8328412070939253235,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,8613213585075034408,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,7839281802022211816,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,605170570079111320,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-8912674914493871025,76.0,51.0,-13.148713101463784,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-5429469239583332266,74.0,49.0,-0.2937932826650069,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,7697740277460248409,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,6823898353758749145,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-765888408110226152,99.0,67.0,-1.6973863806463072,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,1824341877410284492,23.0,15.0,-3.206664539023123,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",Breach,-9095715445349070663,51.0,34.0,-3.372099270970537,yes,4,300,cmaes,
