model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-8829034803946702969,92.0,16.0,-2.296854010067861,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-2353421046468780693,33.0,5.0,-1.174612235426011,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-3853560689279477686,27.0,4.0,-3.9366516340517563,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",2933797055504047825,300.0,53.0,2.0688305161614693,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-4640054609601417685,186.0,32.0,-2.4040263588949102,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",2515614123535692122,25.0,4.0,-0.2912892618705314,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-3554214330103795695,20.0,3.0,-2.8516107297891296,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-7747385951319276823,152.0,26.0,-0.3665322593630407,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-235358947282312621,186.0,33.0,-0.306322577407002,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-5417663216209968786,300.0,53.0,0.6058132899133852,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-872347501970821222,300.0,52.0,0.49381609932068216,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-3270244756238953327,121.0,21.0,-0.8185440466586869,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",9033316213230653780,300.0,54.0,0.37195512214367454,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",699078535214054353,143.0,25.0,-1.3731182043833456,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-2229914112842889986,146.0,26.0,-2.2945691298154145,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",5395514020962070953,199.0,35.0,-0.7397362554885234,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-2521231534184722491,65.0,11.0,-1.4070522223193365,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-9022366816878507082,75.0,13.0,-0.47611797301836134,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-606601501136118214,22.0,3.0,-4.557679924225525,yes,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",2994922965713613363,300.0,53.0,0.3397096372442121,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",9203285302855321290,300.0,53.0,0.5945286251993025,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))","uniform random",-8669643070921231863,300.0,53.0,0.3118190486876955,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",0,300.0,53.0,3.1846372500904465,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-7446064760990879566,300.0,53.0,3.318126395152987,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",2660640096327236495,300.0,53.0,7.332865914649489,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",9013186094659412439,300.0,53.0,4.637969123982366,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",6736484060908379297,300.0,53.0,4.663193264307097,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",2412024523081505550,300.0,53.0,8.039754081240687,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-998948971971237567,300.0,54.0,1.233875926549267,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-8603536844836045384,300.0,53.0,10.272082564729551,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",6910712323359051413,300.0,53.0,12.435849475688507,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-5580088396411371425,300.0,53.0,3.5702922428830277,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",3835908933267529690,300.0,54.0,2.048268546147277,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",3538418442377313471,300.0,53.0,4.583026748920652,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",7311037152464982660,300.0,53.0,6.39791915799637,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",4758519069225598247,300.0,53.0,5.93246970101746,no,4,300,,
automatic_transmission,"(□_[0.0, 10.0] (speed < 50.0) || ◇_[0.0, 30.0] (2700.0 < RPM))","uniform random",-7884957190656726080,300.0,53.0,6.378680597785781,no,4,300,,
