model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",0,49.0,32.0,-1.4734219262153445,yes,4,300,,
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",-6264662031554090775,276.0,49.0,-0.9323183510038717,yes,4,300,,
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",7102019331002903831,158.0,28.0,-0.5224521053156934,yes,4,300,,
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",6075899535588288490,300.0,53.0,0.7925829362909838,no,4,300,,
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",2859688600358768951,300.0,53.0,3.0525286587212577,no,4,300,,
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",-8856420459954023566,300.0,53.0,4.872364931178431,no,4,300,,
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",-707988143217608100,300.0,53.0,2.4023927611413356,no,4,300,,
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",960099309302937358,300.0,52.0,0.9252335547538024,no,4,300,,
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",-4973652317489833550,300.0,52.0,0.49329178595102263,no,4,300,,
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",-543099155037063553,29.0,5.0,-0.08076830295597404,yes,4,300,,
automatic_transmission,"!□_[10.0, 30.0] ((50.0 <= speed) && (speed <= 60.0))","uniform random",1529944001390819875,185.0,33.0,-2.459986464938872,yes,4,300,,
